#
# Graph: enron.edgelist -> enron enron. A=0.001, K=10-1.5-100M, Cvr=10, SzFrc=0.001 G(33696, 180811) (Sat Aug  1 21:05:48 2015)
#
# k (number of nodes in the cluster)	ORIGINAL MIN (33696, 180811)
201	0.0426189
204	0.0458155
206	0.0534535
207	0.0768105
209	0.0758123
213	0.0739191
215	0.0727651
217	0.0711818
219	0.0691307
221	0.0674847
222	0.0672098
226	0.0652463
227	0.0635762
230	0.0631579
232	0.0636066
234	0.0633573
236	0.06311
238	0.0645995
241	0.0678503
243	0.0698553
247	0.0685786
249	0.0719115
250	0.0751374
254	0.0811456
255	0.078478
258	0.0860152
260	0.0883721
264	0.0897798
266	0.089983
268	0.0907042
273	0.0891967
274	0.0904079
276	0.0918087
279	0.0918919
282	0.0942601
285	0.094693
288	0.0966752
291	0.0978809
295	0.0974765
296	0.097284
301	0.0987835
304	0.0927342
307	0.0915923
310	0.0891274
312	0.0846366
317	0.0822042
320	0.0791815
323	0.0772627
326	0.0754386
330	0.0739774
333	0.0730022
336	0.071337
340	0.0705637
343	0.0703993
346	0.0676998
348	0.0671004
352	0.0662917
357	0.0649559
360	0.0635425
361	0.0621782
366	0.0628437
371	0.0765131
374	0.0755218
376	0.0753502
380	0.076402
384	0.0781893
388	0.0818822
394	0.137097
398	0.13253
402	0.128
406	0.123506
408	0.121272
414	0.118841
415	0.118611
423	0.123005
424	0.125234
428	0.129715
436	0.141208
437	0.141308
444	0.141361
448	0.139148
452	0.138788
454	0.139742
461	0.139961
463	0.140625
472	0.141026
473	0.142035
478	0.142586
486	0.142589
491	0.140644
492	0.139944
501	0.139464
502	0.139903
507	0.138163
516	0.13913
517	0.143885
526	0.15651
532	0.151724
537	0.147766
542	0.143836
548	0.140327
549	0.140721
559	0.139643
560	0.138889
570	0.147078
571	0.146889
579	0.159851
587	0.158924
588	0.159243
594	0.164769
604	0.170052
611	0.174186
617	0.170455
618	0.170732
625	0.172182
631	0.178414
642	0.214176
649	0.209826
652	0.207971
656	0.214681
665	0.22184
675	0.222863
681	0.22063
687	0.218852
690	0.219373
703	0.226398
709	0.223636
713	0.226212
724	0.230092
731	0.226597
738	0.222852
746	0.220295
748	0.219913
758	0.224714
768	0.238056
776	0.234648
784	0.231703
792	0.228195
800	0.224707
808	0.220351
809	0.22047
822	0.222146
832	0.22291
840	0.219136
849	0.214917
857	0.211192
866	0.207028
875	0.202893
883	0.199241
892	0.195159
901	0.191104
910	0.187077
919	0.183077
928	0.179104
938	0.174721
947	0.170804
957	0.166482
966	0.16262
976	0.158358
986	0.154127
995	0.150346
1005	0.146173
1015	0.142031
1026	0.137509
1036	0.133429
1046	0.129378
1057	0.124956
1067	0.120965
1078	0.116608
1089	0.112284
1100	0.107994
1111	0.103737
1122	0.0995129
1133	0.0953206
1144	0.0911602
1156	0.0866575
1167	0.0825625
1179	0.0781303
1191	0.0737343
1203	0.0693739
1215	0.0650489
1227	0.0607586
1239	0.0577629
1252	0.0519695
1259	0.0493421
1272	0.045425
1279	0.0444588
1297	0.0436147
1307	0.0442092
1319	0.0442319
1341	0.0413175
1355	0.0409156
1367	0.0368703
1381	0.0355862
1395	0.0364372
1406	0.0354383
1411	0.0373115
1427	0.0431655
1445	0.0487192
1454	0.0565483
1473	0.0589345
1486	0.0587964
1512	0.0572001
1520	0.0556901
1537	0.0595827
1549	0.0618073
1559	0.0686192
1575	0.0811032
1591	0.0839048
1611	0.107916
1623	0.108745
1647	0.109081
1669	0.107228
1679	0.106088
1691	0.11039
1705	0.11518
1725	0.115465
1739	0.119724
1771	0.129075
1791	0.172855
1809	0.172579
1827	0.171857
1840	0.170479
1864	0.169762
1881	0.167379
1901	0.165353
1920	0.163965
1924	0.16345
1959	0.162569
1978	0.161682
1987	0.161242
2012	0.16261
2033	0.159218
2059	0.155741
2073	0.154614
2089	0.155145
2121	0.157201
2142	0.155926
2163	0.154539
2185	0.15293
2207	0.151681
2227	0.150984
2251	0.149214
2273	0.147916
2296	0.147774
2320	0.146552
2342	0.145503
2344	0.145446
2390	0.146522
2395	0.146194
2437	0.146221
2463	0.145101
2476	0.144559
2503	0.145387
2517	0.145875
2552	0.146066
2564	0.146129
2593	0.145967
2640	0.145038
2666	0.14399
2693	0.143097
2699	0.142913
2744	0.142786
2775	0.142676
2783	0.142487
2831	0.142756
2846	0.1425
2863	0.143866
2896	0.143678
2940	0.144113
2947	0.144294
2976	0.146521
3018	0.14793
3051	0.14992
3096	0.149969
3122	0.149354
3128	0.149468
3170	0.150017
3197	0.150999
3225	0.151561
3256	0.15237
3293	0.154224
3342	0.154125
3365	0.154212
3389	0.154837
3421	0.157516
3458	0.160488
3490	0.162093
3525	0.163233
3565	0.167987
3595	0.170754
3638	0.173315
3673	0.174181
3704	0.17781
3771	0.181143
3789	0.181242
3821	0.183727
3855	0.187035
3899	0.18882
3967	0.19068
3973	0.19093
4026	0.191412
4053	0.192415
4122	0.195599
4144	0.196889
4175	0.202706
4216	0.208066
4258	0.209795
4303	0.211534
4344	0.215516
4388	0.217663
4431	0.222295
4475	0.225957
4520	0.229033
4566	0.23157
4612	0.236423
4661	0.239556
4703	0.243201
4751	0.248757
4798	0.257408
4847	0.264177
4911	0.265857
4970	0.265451
5009	0.266471
5092	0.27055
5101	0.270476
5170	0.271159
5245	0.271713
5298	0.269847
5346	0.268092
5389	0.267606
5459	0.266923
5508	0.266067
5569	0.263801
5620	0.262247
5655	0.261795
5735	0.261263
5781	0.260902
5853	0.259476
5892	0.25852
5971	0.257192
6031	0.256207
6091	0.254962
6145	0.254396
6191	0.253853
6276	0.253323
6332	0.252804
6402	0.252345
6448	0.252076
6514	0.251978
6596	0.251101
6657	0.249851
6694	0.249796
6795	0.248915
6856	0.248672
6900	0.24866
7002	0.248081
7072	0.247083
7139	0.245998
7214	0.245079
7279	0.244386
7359	0.243623
7428	0.24287
7502	0.241864
7578	0.241168
7656	0.240494
7726	0.239908
7741	0.239859
7889	0.241134
7969	0.239666
8036	0.238401
8129	0.23771
8198	0.23661
8292	0.235923
8375	0.235028
8459	0.233694
8493	0.233317
8629	0.232344
8715	0.231332
8791	0.229831
8890	0.229377
8979	0.228162
9069	0.227626
9158	0.225388
9250	0.223176
9343	0.220948
9437	0.217825
9532	0.216721
9627	0.215294
9714	0.214076
9820	0.211427
9919	0.209345
10018	0.208068
10118	0.205754
10219	0.203654
10321	0.200983
10425	0.200201
10529	0.197196
10634	0.195503
10741	0.194653
10848	0.192841
10956	0.191003
11066	0.18971
11177	0.18753
11288	0.184911
11401	0.182749
11515	0.180544
11630	0.178335
11747	0.176147
11864	0.174494
11983	0.172243
12103	0.170779
12224	0.168604
12346	0.166578
12469	0.163877
12594	0.162226
12712	0.159974
12826	0.17353
