#
# Graph: dblp.edgelist -> dblp dblp. A=0.001, K=10-1.5-100M, Cvr=10, SzFrc=0.001 G(317080, 1049866) (Sat Aug  1 21:05:42 2015)
#
# k (number of nodes in the cluster)	ORIGINAL MIN (317080, 1049866)
200	0.0424658
202	0.0423208
204	0.0477804
206	0.0470708
207	0.0467163
209	0.0496915
211	0.0495306
215	0.0488729
216	0.0498698
218	0.04981
220	0.049501
223	0.049781
224	0.0488871
228	0.0483743
229	0.0487129
232	0.0491609
234	0.0494776
237	0.0493997
238	0.0493803
242	0.0532659
244	0.0532246
245	0.0537551
248	0.0539756
250	0.0542785
254	0.0548816
257	0.0543917
259	0.0541267
260	0.0541059
265	0.0535648
266	0.0538944
270	0.0534267
272	0.0535616
275	0.0543319
277	0.0538462
279	0.054207
282	0.0551812
285	0.0555152
288	0.0560984
290	0.0565697
293	0.0582944
298	0.0596855
300	0.0588235
303	0.0589698
307	0.0586152
309	0.0581786
313	0.0570928
315	0.0573627
318	0.0579407
321	0.0598379
326	0.060113
327	0.059206
332	0.0589034
334	0.0591626
338	0.0590225
343	0.057932
344	0.0590406
349	0.0595298
353	0.0596445
354	0.0615486
359	0.0668003
364	0.0672646
365	0.0670873
371	0.0663358
375	0.0662078
377	0.0670781
380	0.067423
385	0.0695652
387	0.0709822
392	0.0699011
396	0.0707487
401	0.0713723
406	0.0702415
407	0.0705901
411	0.0718994
419	0.070624
423	0.0688455
424	0.0698096
429	0.070698
436	0.069608
437	0.0692981
444	0.0690114
445	0.0697332
451	0.0715854
457	0.0711468
459	0.0731849
463	0.0733546
472	0.0731988
473	0.0725806
479	0.0739467
482	0.0749251
487	0.0755657
492	0.0765523
499	0.0748911
503	0.0754585
511	0.0735233
512	0.073313
517	0.0737716
524	0.0744915
532	0.0749248
535	0.0748021
541	0.0747803
543	0.075594
551	0.0773154
554	0.0781794
564	0.0774741
569	0.0775122
575	0.0799476
580	0.0795143
582	0.081341
588	0.0828075
596	0.0849573
602	0.086091
611	0.0869784
612	0.08682
618	0.0884303
630	0.0883779
631	0.0891089
638	0.0895466
643	0.090411
655	0.0918506
661	0.091616
663	0.0909753
672	0.0908652
676	0.0909407
686	0.091888
694	0.0922989
697	0.0930473
706	0.0924803
712	0.0923007
723	0.0924599
729	0.0921455
732	0.0924199
746	0.0911258
753	0.0878679
761	0.0870709
768	0.0849044
776	0.083265
777	0.0834928
786	0.0841604
798	0.084732
805	0.0842902
816	0.0844957
817	0.0848525
830	0.0849132
837	0.0846261
842	0.0868214
856	0.086363
863	0.084273
868	0.0841146
881	0.0858026
884	0.0859606
893	0.0865109
908	0.0865221
911	0.0868801
922	0.087956
936	0.0874256
940	0.0873847
955	0.088331
960	0.0907097
969	0.0923384
982	0.0916301
995	0.0921587
996	0.0922113
1009	0.0913513
1016	0.0942886
1036	0.0942867
1038	0.0945291
1047	0.0967817
1061	0.0976733
1071	0.0981156
1082	0.0991269
1093	0.102287
1105	0.101972
1122	0.10308
1123	0.103268
1144	0.10294
1151	0.103029
1164	0.103011
1168	0.103104
1184	0.104841
1202	0.104741
1207	0.104385
1219	0.10513
1234	0.105252
1244	0.105983
1253	0.109077
1265	0.109629
1278	0.110254
1291	0.110954
1315	0.109757
1325	0.108742
1342	0.106377
1352	0.106268
1356	0.107045
1382	0.108135
1384	0.108169
1401	0.1077
1422	0.105628
1426	0.106197
1444	0.106381
1466	0.104299
1473	0.10442
1490	0.103623
1501	0.103962
1519	0.106398
1530	0.106379
1558	0.10571
1559	0.105851
1585	0.106836
1598	0.106476
1620	0.106843
1637	0.106161
1641	0.106117
1656	0.108906
1671	0.109226
1704	0.107721
1716	0.107251
1736	0.105933
1752	0.104877
1758	0.105309
1778	0.105941
1795	0.105951
1810	0.106116
1841	0.106216
1862	0.109687
1881	0.109899
1884	0.110174
1914	0.110673
1925	0.111321
1959	0.112044
1972	0.111439
1998	0.112369
2003	0.111747
2036	0.11283
2051	0.112207
2064	0.112869
2099	0.11208
2121	0.111965
2127	0.111809
2163	0.112259
2166	0.112234
2201	0.112855
2224	0.114213
2248	0.113969
2254	0.114455
2297	0.115986
2298	0.116766
2323	0.118162
2353	0.119431
2386	0.119033
2394	0.121384
2416	0.124487
2457	0.126606
2469	0.127157
2512	0.128743
2521	0.128612
2540	0.12916
2577	0.128292
2614	0.131455
2640	0.130369
2667	0.12951
2686	0.128961
2720	0.128608
2746	0.127558
2763	0.126575
2803	0.128096
2804	0.12814
2844	0.127489
2883	0.127006
2910	0.129986
2945	0.128546
2947	0.128612
3005	0.12791
3014	0.127738
3062	0.127491
3096	0.126036
3104	0.125874
3158	0.12623
3162	0.126056
3219	0.128659
3253	0.128724
3287	0.128532
3293	0.128096
3323	0.128766
3386	0.127256
3420	0.125874
3454	0.124712
3469	0.123122
3492	0.123131
3529	0.127511
3563	0.128454
3629	0.128956
3667	0.127457
3703	0.126631
3709	0.126305
3743	0.127353
3779	0.128766
3823	0.130462
3891	0.129925
3929	0.12877
3937	0.128796
3988	0.129523
4020	0.129381
4068	0.130276
4112	0.130375
4139	0.131842
4213	0.131529
4221	0.131343
4280	0.130694
4302	0.131195
4362	0.130811
4413	0.1312
4431	0.132733
4519	0.13212
4539	0.131231
4605	0.131956
4649	0.130169
4682	0.129649
4748	0.129207
4768	0.128393
4800	0.129452
4872	0.13113
4911	0.12979
4992	0.129905
5030	0.129516
5065	0.128951
5098	0.128808
5194	0.128032
5209	0.126806
5247	0.128453
5324	0.129878
5390	0.131474
5459	0.130184
5467	0.129643
5543	0.133476
5570	0.134851
5646	0.137389
5689	0.139153
5742	0.141505
5841	0.141989
5858	0.142665
5956	0.143108
6028	0.142638
6088	0.14192
6150	0.14145
6174	0.141082
6268	0.139417
6309	0.138946
6402	0.140384
6412	0.139903
6516	0.143839
6542	0.144133
6650	0.143896
6727	0.143342
6746	0.143163
6843	0.142933
6922	0.142725
6950	0.143286
7031	0.142841
7078	0.145606
7151	0.146002
7245	0.147277
7359	0.147373
7432	0.146655
7437	0.146386
7582	0.147465
7650	0.146609
7717	0.145535
7788	0.145242
7850	0.145167
7916	0.145255
8002	0.145767
8129	0.146466
8173	0.14608
8219	0.145944
8372	0.145652
8457	0.145043
8528	0.144592
8568	0.14404
8715	0.143236
8735	0.143005
8846	0.14429
8906	0.144527
8980	0.144941
9118	0.146028
9251	0.146133
9328	0.145297
9419	0.144771
9493	0.144693
9552	0.145454
9704	0.145225
9756	0.144574
9917	0.144274
9927	0.144163
10062	0.144906
10142	0.145203
10268	0.145743
10326	0.14566
10504	0.145422
10534	0.146256
10727	0.14544
10828	0.145424
10956	0.144626
10961	0.144544
11077	0.145115
11287	0.145541
11293	0.145497
11415	0.146024
11522	0.14651
11682	0.147342
11853	0.147561
11923	0.147159
12017	0.147299
12110	0.147645
12343	0.148099
12351	0.148188
12584	0.149001
12641	0.149029
12762	0.148532
12955	0.148114
13024	0.148182
13138	0.148399
13281	0.149671
13502	0.14909
13638	0.14892
13662	0.14885
13839	0.149033
13947	0.14973
14076	0.150757
14196	0.151298
14398	0.151436
14529	0.151539
14750	0.150921
14894	0.150759
15060	0.149486
15068	0.149535
15229	0.150222
15519	0.150217
15647	0.149884
15740	0.149898
15941	0.150499
15992	0.150992
16169	0.150995
16435	0.150667
16556	0.151217
16807	0.151206
16818	0.151082
17122	0.150666
17294	0.150251
17410	0.149696
17665	0.149917
17825	0.149403
17874	0.149561
18078	0.149746
18314	0.149896
18385	0.150551
18697	0.150072
18880	0.15002
19109	0.149792
19198	0.150173
19372	0.150145
19570	0.150624
19903	0.150527
19934	0.150318
20116	0.151608
20485	0.150911
20652	0.150902
20912	0.150481
21129	0.150072
21263	0.149726
21441	0.150567
21562	0.151094
21778	0.15244
22106	0.153272
22234	0.153404
22649	0.153189
22678	0.153068
23091	0.152935
23285	0.152483
23524	0.152293
23586	0.152783
23844	0.153374
24277	0.152698
24531	0.152483
24567	0.152355
24836	0.152679
25178	0.152726
25464	0.15252
25576	0.152734
25909	0.153311
26063	0.153277
26308	0.153659
26654	0.154068
26839	0.155027
27101	0.155178
27406	0.155883
27762	0.155605
27924	0.156736
28368	0.157048
28764	0.1566
28815	0.156437
29054	0.1565
29358	0.157214
29717	0.158177
29984	0.158558
30374	0.159561
30839	0.15959
30886	0.159418
31418	0.160075
31492	0.160012
31785	0.160671
32119	0.160815
32732	0.161148
32831	0.161051
33336	0.161086
33509	0.160921
33765	0.161031
34338	0.16159
34426	0.161673
34786	0.161956
35285	0.162529
35679	0.162168
35809	0.162363
36299	0.162601
36627	0.162247
37077	0.162051
37299	0.162138
37745	0.163002
38385	0.163218
38686	0.163124
39158	0.163258
39452	0.162714
39701	0.162661
39947	0.162873
40688	0.163645
41032	0.163242
41229	0.163199
41835	0.163324
42239	0.163281
42566	0.163179
43133	0.163372
43407	0.16348
43871	0.163649
44207	0.163935
44634	0.164137
45070	0.164332
45880	0.164252
45932	0.164341
46682	0.164875
46870	0.164917
47764	0.164858
48222	0.164502
48304	0.164531
49049	0.164753
49287	0.165184
50214	0.164983
50668	0.164454
51127	0.164219
51613	0.164195
52240	0.163622
52778	0.163467
53304	0.163005
53331	0.163016
54243	0.162944
54921	0.162484
54969	0.162377
55996	0.162603
56045	0.162784
56589	0.163396
57300	0.16332
57908	0.163492
58561	0.164077
59056	0.164511
59933	0.164493
60635	0.164227
61099	0.163791
61571	0.164245
61959	0.164295
62842	0.164259
63174	0.164538
63809	0.164625
64741	0.164845
65596	0.164741
66345	0.164341
67007	0.16352
67684	0.1627
68332	0.161878
69046	0.160636
69729	0.159509
70434	0.158519
71135	0.157884
71849	0.157118
72541	0.156355
73292	0.155589
74026	0.154977
74755	0.154109
75514	0.153041
76270	0.151937
77028	0.150849
77799	0.150338
78581	0.149444
79351	0.148383
80135	0.147656
80962	0.147425
81701	0.146812
82519	0.145878
83397	0.145075
84249	0.144366
85092	0.143741
85943	0.143004
86794	0.142419
87670	0.141657
88547	0.14082
89376	0.140077
90304	0.139425
91226	0.138767
92143	0.137952
93063	0.137113
93992	0.136474
94898	0.135657
95881	0.135116
96809	0.13428
97768	0.133826
98734	0.132993
99665	0.132495
100632	0.131889
101777	0.131347
102760	0.130532
103828	0.129862
104860	0.129165
105916	0.128484
106957	0.12769
108033	0.126879
109113	0.126259
110208	0.125512
111314	0.124822
112422	0.124376
113545	0.123731
114676	0.123017
115827	0.122288
116981	0.121549
118161	0.120548
119303	0.11996
120542	0.119018
121391	0.118216
122965	0.117384
124185	0.116468
125406	0.115698
126691	0.114623
127870	0.113819
129235	0.112993
130528	0.111949
131822	0.110747
133151	0.109729
134485	0.108626
135829	0.107268
137188	0.105916
138557	0.104382
139945	0.102957
141343	0.101482
142756	0.099807
144167	0.098382
145626	0.0968964
147084	0.0950816
148374	0.0935749
