#
# Graph: condmat-2005.edgelist -> condmat-2005 condmat-2005. A=0.001, K=10-1.5-100M, Cvr=10, SzFrc=0.001 G(36458, 171735) (Sat Aug  1 21:04:21 2015)
#
# k (number of nodes in the cluster)	ORIGINAL MIN (36458, 171735)
215	0.172996
216	0.172638
218	0.172702
220	0.180358
223	0.180657
224	0.18
228	0.185093
230	0.185349
232	0.183297
235	0.179341
236	0.178862
239	0.177751
242	0.177742
244	0.174414
247	0.175899
248	0.174818
252	0.167897
254	0.163024
255	0.165154
258	0.171506
262	0.17011
265	0.169002
267	0.169653
269	0.167982
273	0.164662
274	0.164117
276	0.163786
279	0.167005
283	0.165659
285	0.167667
289	0.166434
292	0.161469
295	0.158757
297	0.155284
301	0.158346
302	0.159612
307	0.162162
309	0.159344
314	0.159157
316	0.155928
320	0.152747
323	0.151823
326	0.150702
327	0.152458
333	0.155241
336	0.153823
338	0.153611
342	0.15885
345	0.160178
350	0.160646
353	0.159977
354	0.159884
358	0.161234
362	0.162325
365	0.166337
371	0.166389
374	0.162192
379	0.162656
381	0.161888
386	0.159123
389	0.158492
392	0.15881
398	0.157837
402	0.150175
405	0.149005
410	0.146127
414	0.143748
417	0.151192
423	0.146839
427	0.146753
429	0.14968
436	0.151412
440	0.148874
441	0.148596
448	0.148529
453	0.146527
456	0.144615
461	0.14239
467	0.143319
468	0.142462
476	0.141166
481	0.14471
486	0.143303
490	0.140642
493	0.140331
501	0.139423
502	0.139996
511	0.139344
515	0.137162
518	0.137481
525	0.137938
527	0.141474
533	0.141906
538	0.143212
548	0.143964
551	0.143496
558	0.148936
560	0.148002
570	0.14882
573	0.147688
577	0.149691
587	0.150607
593	0.149
596	0.14819
604	0.148271
610	0.148828
613	0.148898
622	0.150241
630	0.149169
632	0.148749
639	0.149241
644	0.150139
651	0.150901
662	0.148814
668	0.148005
675	0.146309
682	0.145663
689	0.144951
692	0.144944
703	0.144081
710	0.143263
711	0.141332
724	0.140501
726	0.139542
738	0.135773
739	0.136123
751	0.137437
754	0.137401
768	0.136007
776	0.132911
782	0.131481
790	0.131594
797	0.131746
808	0.134716
815	0.133379
824	0.133965
831	0.132045
833	0.13153
842	0.13209
857	0.130321
859	0.13014
867	0.13092
883	0.131505
892	0.128825
899	0.128103
907	0.126904
911	0.127421
922	0.129632
931	0.129106
947	0.129073
957	0.12663
963	0.125946
975	0.125502
982	0.124057
994	0.122221
1005	0.121361
1015	0.119768
1023	0.116279
1027	0.117169
1042	0.117166
1047	0.11722
1059	0.122571
1078	0.123579
1079	0.123463
1100	0.12344
1106	0.123048
1115	0.124006
1126	0.124051
1143	0.123789
1155	0.122765
1167	0.122312
1168	0.122461
1180	0.124658
1192	0.126247
1215	0.127052
1217	0.12707
1234	0.130771
1252	0.129501
1261	0.128262
1275	0.128845
1278	0.129225
1298	0.129463
1303	0.130906
1316	0.132214
1342	0.132743
1344	0.132395
1369	0.132349
1381	0.128331
1390	0.128261
1402	0.12865
1414	0.128555
1437	0.132217
1446	0.131842
1455	0.131651
1471	0.131654
1485	0.135552
1509	0.135157
1513	0.135234
1542	0.135503
1545	0.135899
1564	0.13694
1575	0.138757
1599	0.139845
1608	0.140722
1635	0.141858
1638	0.141901
1656	0.143907
1687	0.144078
1690	0.144057
1716	0.144269
1727	0.144833
1755	0.14445
1759	0.144226
1775	0.144258
1794	0.146426
1822	0.146214
1828	0.14652
1849	0.149011
1866	0.152298
1887	0.153831
1907	0.155439
1924	0.155927
1941	0.158875
1973	0.160719
1987	0.160727
2015	0.157967
2019	0.158524
2042	0.15921
2060	0.16172
2080	0.162354
2101	0.164835
2124	0.164916
2161	0.166559
2168	0.166453
2203	0.168565
2208	0.16922
2231	0.170657
2254	0.171273
2277	0.173709
2302	0.175106
2343	0.17702
2344	0.17718
2375	0.182661
2393	0.183536
2418	0.183966
2440	0.185389
2465	0.187143
2496	0.189035
2516	0.190272
2539	0.194097
2566	0.196623
2591	0.198965
2616	0.201931
2641	0.202432
2668	0.203929
2719	0.20826
2721	0.209552
2768	0.209972
2803	0.209652
2824	0.208393
2859	0.207807
2880	0.205927
2917	0.204145
2918	0.204166
2972	0.203513
3005	0.203356
3034	0.200186
3065	0.200123
3090	0.199372
3119	0.198735
3158	0.198154
3188	0.196629
3222	0.195552
3229	0.195114
3264	0.198115
3313	0.196187
3320	0.196439
3385	0.195734
3399	0.19502
3447	0.195681
3458	0.196003
3491	0.197632
3528	0.197689
3563	0.198116
3623	0.197994
3638	0.197846
3677	0.198505
3707	0.200298
3778	0.200651
3803	0.199563
3854	0.198914
3860	0.198517
3905	0.198665
3960	0.198607
4008	0.199372
4049	0.198881
4091	0.197112
4129	0.196223
4168	0.195938
4177	0.196335
4239	0.196548
4280	0.196871
4308	0.196933
4379	0.195973
4430	0.195359
4473	0.194441
4512	0.194383
4564	0.193568
4574	0.192827
4654	0.192012
4672	0.191985
4749	0.190997
4782	0.189847
4841	0.189586
4866	0.189051
4941	0.187365
4972	0.186801
5042	0.186181
5043	0.186242
5137	0.187023
5144	0.187205
5238	0.187137
5267	0.186656
5304	0.187696
5378	0.187385
5430	0.187485
5475	0.187557
5545	0.188127
5624	0.187547
5630	0.187648
5718	0.18805
5741	0.188316
5853	0.188407
5912	0.187948
5928	0.187927
6031	0.185948
6090	0.184342
6152	0.183215
6213	0.18266
6239	0.182435
6328	0.18224
6402	0.18143
6412	0.181293
6490	0.181056
6596	0.180562
6662	0.179784
6707	0.17901
6794	0.178541
6864	0.177228
6927	0.176178
7002	0.175154
7071	0.173607
7140	0.172243
7213	0.170737
7284	0.169421
7335	0.168495
7432	0.166902
7499	0.165665
7561	0.163722
7655	0.166686
7734	0.164825
7811	0.163445
7888	0.162517
7965	0.162137
8048	0.160675
8129	0.157679
8210	0.155467
8292	0.153939
8375	0.151832
8458	0.149931
8543	0.148257
8629	0.146339
8715	0.145016
8802	0.143987
8889	0.142729
8977	0.141018
9069	0.139213
9158	0.137176
9248	0.135801
9336	0.133736
9437	0.132591
9532	0.131299
9627	0.129957
9716	0.128322
9820	0.126693
9919	0.124992
10014	0.123372
10116	0.122038
10219	0.120722
10319	0.119438
10425	0.118206
10529	0.116924
10631	0.115439
10741	0.114162
10848	0.112505
10955	0.111003
11066	0.109962
11175	0.108343
11288	0.106698
11401	0.105185
11515	0.104048
11630	0.102832
11747	0.101067
11861	0.100395
11971	0.099004
12103	0.0981108
12204	0.0972695
12346	0.0960417
12441	0.0950822
12594	0.20488
12720	0.203322
12844	0.20123
12976	0.198866
13105	0.197055
13237	0.195078
13369	0.192651
13503	0.190371
13637	0.187573
13774	0.185124
13912	0.182539
14043	0.179785
14192	0.177109
14330	0.174856
14476	0.171739
14622	0.168796
14768	0.166106
14915	0.162575
14944	0.161827
15206	0.20452
15367	0.202887
15519	0.201489
15625	0.19914
15833	0.199507
15991	0.198274
16148	0.196932
16305	0.195701
16467	0.194906
16641	0.19396
16793	0.192738
16975	0.191545
17053	0.191331
