#
# Graph: brightkite.edgelist -> brightkite brightkite. A=0.001, K=10-1.5-100M, Cvr=10, SzFrc=0.001 G(56739, 212945) (Sat Aug  1 21:04:11 2015)
#
# k (number of nodes in the cluster)	ORIGINAL MIN (56739, 212945)
198	0.0719132
199	0.0717185
202	0.0723861
204	0.072
206	0.0712401
207	0.0698287
210	0.0727273
211	0.076524
215	0.0767263
217	0.0763359
218	0.0842767
221	0.0884244
223	0.086911
226	0.0855057
228	0.0847634
230	0.0844997
232	0.0838509
235	0.0835913
237	0.0834192
240	0.0814967
242	0.0813299
244	0.0803662
247	0.0793804
249	0.0796371
252	0.0768492
254	0.0758157
257	0.073031
259	0.0721747
261	0.0711575
265	0.07126
267	0.0711258
269	0.0714286
271	0.0720974
274	0.0734201
278	0.0735809
280	0.073478
282	0.0723227
286	0.0727708
289	0.0724437
292	0.0709366
295	0.0707755
298	0.0703178
301	0.0699088
302	0.0708024
307	0.0695187
310	0.0694538
314	0.069267
317	0.0688742
320	0.0680767
323	0.0681145
324	0.0680697
330	0.0689766
333	0.0685019
336	0.0675159
339	0.0670054
342	0.0665821
345	0.0659062
348	0.0660348
351	0.0658268
357	0.0663745
360	0.0664172
361	0.0669573
366	0.0670391
369	0.0680693
372	0.0684762
376	0.0699816
380	0.0766434
386	0.0788682
387	0.0804805
391	0.0810164
395	0.0829616
399	0.0824437
403	0.0825688
408	0.0841672
411	0.0854801
417	0.0873108
421	0.0933104
424	0.0985433
431	0.0988075
435	0.0985277
437	0.100705
442	0.100422
445	0.103159
451	0.104942
458	0.104247
459	0.103943
463	0.10594
472	0.114939
475	0.115096
481	0.114507
486	0.113465
491	0.11016
496	0.10459
501	0.102099
506	0.0984308
511	0.0966364
516	0.0959488
521	0.0949423
526	0.0940322
532	0.0904611
537	0.0884568
542	0.0870934
548	0.08651
553	0.0856646
559	0.0839827
564	0.0830026
570	0.0799933
576	0.0786702
581	0.0758892
585	0.0722812
593	0.071794
599	0.0702187
605	0.0670791
611	0.0655446
617	0.0639189
620	0.0634052
630	0.0626101
636	0.0623704
642	0.0617558
649	0.0611664
654	0.0603094
662	0.0598237
668	0.0597109
675	0.0595238
680	0.0591179
687	0.0595201
695	0.0597919
697	0.0603715
708	0.0603077
713	0.0599969
720	0.0602631
725	0.0608324
732	0.0610942
739	0.0617807
747	0.0633102
755	0.0632417
763	0.0641927
773	0.0656348
778	0.066963
786	0.0671983
798	0.0692285
803	0.0699649
813	0.0702624
819	0.0707335
827	0.0722543
834	0.0734024
843	0.0741219
853	0.0750785
859	0.0765292
869	0.0803105
879	0.0811191
885	0.0832983
894	0.0862789
909	0.0884992
911	0.0890789
921	0.0941643
931	0.0961695
940	0.0988771
949	0.100946
963	0.102355
975	0.113791
978	0.113818
989	0.116606
997	0.118675
1014	0.121345
1022	0.120572
1027	0.12093
1042	0.122751
1052	0.123856
1058	0.124056
1071	0.125354
1088	0.125304
1099	0.125287
1108	0.124548
1112	0.124895
1124	0.125403
1144	0.12391
1151	0.123451
1167	0.123611
1178	0.123236
1183	0.122609
1197	0.122463
1215	0.122876
1220	0.122204
1235	0.121549
1246	0.121212
1262	0.121005
1276	0.120624
1288	0.120777
1301	0.120009
1315	0.119435
1329	0.118388
1339	0.117237
1351	0.116674
1359	0.116289
1381	0.11888
1396	0.119168
1407	0.118374
1423	0.118112
1432	0.1177
1453	0.118036
1468	0.116986
1482	0.115999
1484	0.115669
1510	0.115437
1517	0.115679
1543	0.117399
1546	0.117602
1567	0.118496
1584	0.118868
1592	0.121919
1614	0.125598
1628	0.125468
1654	0.126041
1664	0.125935
1672	0.127635
1704	0.127462
1717	0.126875
1731	0.125852
1743	0.126846
1770	0.1278
1774	0.127866
1792	0.128748
1812	0.128829
1833	0.128998
1864	0.128278
1882	0.127168
1901	0.125619
1920	0.124268
1939	0.12271
1959	0.121598
1977	0.121014
1998	0.119529
2018	0.118644
2038	0.116514
2059	0.115054
2079	0.1132
2100	0.109558
2121	0.107862
2142	0.105169
2164	0.100651
2185	0.0999777
2207	0.0993154
2228	0.0973275
2252	0.0962522
2274	0.0950288
2297	0.0935359
2320	0.092861
2336	0.0925408
2366	0.0951598
2390	0.0938113
2414	0.0925882
2438	0.0908467
2463	0.0903173
2487	0.0884148
2512	0.0873605
2534	0.0849015
2563	0.0833124
2587	0.0819028
2614	0.0812521
2640	0.0804574
2667	0.0784919
2693	0.0775651
2720	0.0754864
2748	0.0746288
2774	0.0738591
2803	0.0697485
2831	0.068084
2859	0.0664403
2888	0.0646695
2917	0.0632949
2946	0.0605561
2975	0.0595342
3005	0.0565819
3035	0.0537829
3065	0.0530283
3096	0.0515552
3127	0.0509903
3158	0.0489905
3190	0.0482806
3222	0.0478562
3242	0.0472072
3277	0.0469882
3308	0.0469154
3330	0.0468936
3355	0.0469421
3388	0.0472379
3440	0.0479872
3472	0.0480567
3491	0.0481059
3529	0.048254
3573	0.0482496
3599	0.0488763
3634	0.0490756
3669	0.0491885
3707	0.0494537
3746	0.0499119
3780	0.050326
3818	0.0505146
3855	0.0538598
3895	0.0541678
3932	0.0547338
3980	0.0549125
4015	0.0553107
4051	0.0560003
4095	0.0566804
4134	0.0577634
4211	0.0589319
4217	0.0590423
4258	0.0607394
4318	0.0609758
4349	0.0616651
4388	0.0633764
4431	0.0654031
4475	0.0666713
4526	0.0687624
4565	0.0697917
4611	0.0714483
4657	0.0732361
4708	0.0758527
4750	0.0774117
4813	0.0777553
4850	0.0784133
4928	0.0788562
4980	0.0784633
5005	0.0786375
5079	0.078575
5096	0.0786991
5178	0.0792057
5229	0.0801097
5261	0.0799767
5343	0.0821795
5403	0.0825301
5426	0.0823417
5484	0.0822374
5515	0.0841042
5591	0.0865305
5639	0.0866833
5738	0.0862412
5760	0.0869592
5810	0.0872304
5864	0.08804
5928	0.0887044
5974	0.0918315
6091	0.0936928
6092	0.09369
6169	0.105897
6258	0.107184
6278	0.10728
6342	0.108032
6407	0.112793
6475	0.115735
6535	0.117901
6625	0.119609
6676	0.122036
6737	0.124986
6826	0.124812
6907	0.126757
6948	0.127488
7003	0.130228
7089	0.133993
7156	0.135007
7227	0.135322
7287	0.135935
7360	0.138291
7435	0.142764
7508	0.144045
7585	0.144996
7672	0.145801
7737	0.145993
7812	0.14887
7952	0.151174
7971	0.1514
8087	0.152502
8210	0.150864
8245	0.150357
8296	0.151081
8391	0.151179
8543	0.154544
8600	0.153782
8701	0.153318
8793	0.152981
8860	0.152723
8978	0.15307
9060	0.151934
9134	0.151071
9250	0.150367
9273	0.150148
9368	0.151638
9502	0.151045
9606	0.150721
9723	0.15068
9787	0.150081
9833	0.150585
10018	0.150656
10118	0.149935
10132	0.149744
10285	0.149582
10357	0.148906
10507	0.148985
10544	0.14938
10739	0.150013
10848	0.149553
10955	0.148606
11063	0.147672
11130	0.14708
11199	0.14737
11364	0.147337
11514	0.146941
11627	0.146143
11734	0.145609
11864	0.144587
11974	0.1441
12019	0.144
12123	0.146436
12346	0.148005
12465	0.147555
12545	0.147489
12678	0.147409
12803	0.147318
12859	0.148543
13015	0.150391
13107	0.153183
13369	0.153932
13476	0.153437
13638	0.153215
13774	0.152971
13912	0.152741
14001	0.152524
14064	0.152529
14193	0.154657
14408	0.156637
14622	0.156085
14768	0.155715
14915	0.155168
15064	0.154805
15206	0.154424
15342	0.154382
15465	0.154142
15582	0.155034
15681	0.155668
15834	0.160035
16151	0.164677
16313	0.163834
16476	0.163517
16641	0.162928
16732	0.162456
16814	0.162475
17144	0.162031
17316	0.162077
17317	0.162087
17499	0.162942
17673	0.164714
17843	0.169298
18199	0.174272
18376	0.173648
18566	0.172021
18751	0.169844
18939	0.167472
19128	0.165207
19319	0.163205
19513	0.161383
19708	0.159511
19905	0.157477
20104	0.155458
20305	0.153349
20508	0.151245
20713	0.149462
20920	0.147702
21129	0.145721
21341	0.143535
21547	0.141887
21770	0.140179
21987	0.138336
22207	0.136436
22429	0.134529
22654	0.132456
22880	0.130643
23108	0.12833
23340	0.126281
23574	0.124431
23809	0.122349
24047	0.120344
24288	0.118708
24531	0.11674
24549	0.116608
25024	0.162332
25274	0.160322
25527	0.158997
25779	0.156783
26040	0.154511
26300	0.151991
26434	0.150868
